cuie	codigo	usuario	fecha_carga
N05220	RTM 11		
N05224	RTM 11		
N05227	RTM 11		
N05236	RTM 11		
N05243	RTM 11		
N05338	RTM 11		
N05341	RTM 11		
N05346	RTM 11		
N05365	RTM 11		
N05383	RTM 11		
N05392	RTM 11		
N05415	RTM 11		
N05419	RTM 11		
N05466	RTM 11		
N10468	RTM 11		
N10789	RTM 11		
N20014	RTM 11		
N20054	RTM 11		
N30016	RTM 11		
N95768	RTM 11		
N00664	SIS 01		
N05201	SIS 01		
N05209	SIS 01		
N05210	SIS 01		
N05226	SIS 01		
N05238	SIS 01		
N05239	SIS 01		
N05265	SIS 01		
N05337	SIS 01		
N05362	SIS 01		
N05366	SIS 01		
N05371	SIS 01		
N05388	SIS 01		
N05409	SIS 01		
N05412	SIS 01		
N05439	SIS 01		
N05452	SIS 01		
N05453	SIS 01		
N05471	SIS 01		
N10493	SIS 01		
N20047	SIS 01		
N20048	SIS 01		
N20052	SIS 01		
N95753	SIS 01		
N95779	SIS 01		
N03166	SIS 17		
N05170	SIS 17		
N00419	SIS 18		
N03168	SIS 18		
N05170	SIS 18		
N03167	TMI 69		
N05166	TMI 69		
N05170	TMI 69		
N00204	TMI 69		
N05205	TMI 69		
N05239	TMI 69		
N05265	TMI 69		
N05289	TMI 69		
N05319	TMI 69		
N05354	TMI 69		
N05384	TMI 69		
N05401	TMI 69		
N05433	TMI 69		
N05459	TMI 69		
N05464	TMI 69		
N10483	TMI 69		
N10789	TMI 69		
N20015	TMI 69		
N20024	TMI 69		
N20033	TMI 69		
N20036	TMI 69		
N30013	TMI 69		
N95758	TMI 69		
N99997	TMI 69		
N03163	TMI 70		
N03171	TMI 70		
N05164	TMI 70		
N05262	TMI 70		
N05408	TMI 70		
N05265	RPU 85		
N05271	RPU 85		
N05278	RPU 85		
N05314	RPU 85		
N05336	RPU 85		
N05362	RPU 85		
N05379	RPU 85		
N05406	RPU 85		
N05407	RPU 85		
N05412	RPU 85		
N05429	RPU 85		
N10452	RPU 85		
N10483	RPU 85		
N10490	RPU 85		
N20048	RPU 85		
N20049	RPU 85		
N95753	RPU 85		
N95756	RPU 85		
N95760	RPU 85		
N95770	RPU 85		
N95792	RPU 85		
N00419	RTM 11		
N05162	RTM 11		
N05172	RTM 11		
N01141	RTM 11		
N03172	RTM 11		
N05190	RTM 11		
N05191	RTM 11		
N05238	RTM 11		
N05240	RTM 11		
N05277	RTM 11		
N05312	RTM 11		
N05313	RTM 11		
N05358	RTM 11		
N05363	RTM 11		
N05384	RTM 11		
N05388	RTM 11		
N05397	RTM 11		
N05401	RTM 11		
N05450	RTM 11		
N10470	RTM 11		
N10491	RTM 11		
N20003	RTM 11		
N20011	RTM 11		
N30017	RTM 11		
N95759	RTM 11		
N99930	RTM 11		
N03589	SIS 01		
N05246	SIS 01		
N05272	SIS 01		
N05274	SIS 01		
N05292	SIS 01		
N05300	SIS 01		
N05334	SIS 01		
N05336	SIS 01		
N05344	SIS 01		
N05349	SIS 01		
N05358	SIS 01		
N05365	SIS 01		
N05401	SIS 01		
N10451	SIS 01		
N10489	SIS 01		
N10769	SIS 01		
N20005	SIS 01		
N20007	SIS 01		
N20031	SIS 01		
N20046	SIS 01		
N30015	SIS 01		
N30019	SIS 01		
N95770	SIS 01		
N99979	SIS 01		
N99990	SIS 01		
N03155	SIS 17		
N03169	SIS 17		
N05166	SIS 17		
N05262	SIS 17		
N05367	SIS 17		
N05434	SIS 17		
N05434	SIS 18		
N01145	TMI 69		
N03162	TMI 69		
N03168	TMI 69		
N05161	TMI 69		
N05164	TMI 69		
N05183	TMI 69		
ALD001	TMI 69		
ALD005	TMI 69		
N00327	TMI 69		
N00496	TMI 69		
N05185	TMI 69		
N05190	TMI 69		
N05199	TMI 69		
N05207	TMI 69		
N05220	TMI 69		
N05249	TMI 69		
N05273	TMI 69		
N05279	TMI 69		
N05282	TMI 69		
N05300	TMI 69		
N05315	TMI 69		
N05371	TMI 69		
N05410	TMI 69		
N05413	TMI 69		
N05419	TMI 69		
